subj	pred	obj	type	create_time	update_time
comp2	首次注册登记地点	衢州市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	证券简称	牧 高 笛	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	法人代表	陆暾华	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	总经理	陆暾华	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	代码	603908	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	公司注册地址	浙江省衢州市世纪大道895号1幢	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	企业法人营业执照注册号	3308002003757	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	公司注册地址邮箱	324000	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	公司名称	牧高笛户外用品股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	首次注册登记地点	厦门市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	证券简称	合诚股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	法人代表	黄和宾	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	总经理	刘德全	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	代码	603909	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	公司注册地址	福建省厦门市湖里区枋钟路2368号1101-1104单元	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	企业法人营业执照注册号	350200100007638	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	公司注册地址邮箱	361009	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3	公司名称	合诚工程咨询集团股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	证券简称	永创智能	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	法人代表	吕婕	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	总经理	罗邦毅	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	代码	603901	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	公司注册地址	浙江省杭州市西湖区三墩镇西园九路1号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	企业法人营业执照注册号	330106000039238	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	公司注册地址邮箱	310030	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp4	公司名称	杭州永创智能设备股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	证券简称	金桥信息	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	法人代表	金国培	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	总经理	周喆	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	代码	603918	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	公司注册地址	上海市自由贸易试验区郭守敬路498号12幢21302；21319室	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	企业法人营业执照注册号	310115000228735	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	公司注册地址邮箱	201203	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp5	公司名称	上海金桥信息股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	首次注册登记地点	徽县工商局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	证券简称	金 徽 酒	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	法人代表	周志刚	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	总经理	周志刚	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	代码	603919	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	公司注册地址	甘肃省陇南市徽县伏家镇	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	企业法人营业执照注册号	621227200003057	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	公司注册地址邮箱	742308	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp6	公司名称	金徽酒股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	首次注册登记地点	江门市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	证券简称	世运电路	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	法人代表	佘英杰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	总经理	佘英杰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	代码	603920	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	公司注册地址	广东省江门市鹤山市共和镇世运路8号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	企业法人营业执照注册号	440700400008504	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	公司注册地址邮箱	529728	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp7	公司名称	广东世运电路科技股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	首次注册登记地点	江苏省苏州工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	证券简称	Ｎ金鸿顺	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	法人代表	洪建沧	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	总经理	洪建沧	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	代码	603922	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	公司注册地址	江苏省苏州市张家港经济开发区长兴路30号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	企业法人营业执照注册号	320582400005265	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	公司注册地址邮箱	215600	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp8	公司名称	苏州金鸿顺汽车部件股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	首次注册登记地点	杭州市工商局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	证券简称	铁流股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	法人代表	张智林	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	总经理	国宁	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	代码	603926	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	公司注册地址	浙江省杭州市余杭区余杭经济开发区东湖北路958号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	企业法人营业执照注册号	330100000106724	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	公司注册地址邮箱	311103	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp9	公司名称	浙江铁流离合器股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	首次注册登记地点	苏州市工商局郊区分局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	证券简称	兴业股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	法人代表	王进兴	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	总经理	王进兴	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	代码	603928	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	公司注册地址	江苏省苏州高新区浒墅关浒华路8号（浒关工业园）	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	企业法人营业执照注册号	320512000050760	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	公司注册地址邮箱	215151	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp10	公司名称	苏州兴业材料科技股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	证券简称	亚翔集成	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	法人代表	姚祖骧	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	总经理	毛智辉	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	代码	603929	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	公司注册地址	江苏省苏州工业园区方达街33号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	企业法人营业执照注册号	320594400003711	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	公司注册地址邮箱	215126	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp11	公司名称	亚翔系统集成科技(苏州)股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	首次注册登记地点	福州市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	证券简称	睿能科技	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	法人代表	杨维坚	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	总经理	杨维坚	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	代码	603933	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	公司注册地址	福建省福州市鼓楼区铜盘路软件大道89号软件园C区26号A幢三层	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	企业法人营业执照注册号	350100400003092	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	公司注册地址邮箱	350003	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp12	公司名称	福建睿能科技股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	首次注册登记地点	梅州市工商局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	证券简称	博敏电子	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	法人代表	徐缓	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	总经理	徐缓	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	代码	603936	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	公司注册地址	广东省梅州市经济开发试验区东升工业园	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	企业法人营业执照注册号	441400400003993	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	公司注册地址邮箱	514768	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp13	公司名称	博敏电子股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	首次注册登记地点	唐山市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	证券简称	三孚股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	法人代表	孙任靖	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	总经理	万柏峰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	代码	603938	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	公司注册地址	河北省唐山市南堡开发区工业区(唐山氯碱有限公司北侧)	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	企业法人营业执照注册号	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	公司注册地址邮箱	063305	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp14	公司名称	唐山三孚硅业股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	首次注册登记地点	常德市工商局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	证券简称	益丰药房	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	法人代表	高毅	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	总经理	高毅	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	代码	603939	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	公司注册地址	湖南省常德市武陵区人民路2638号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	企业法人营业执照注册号	430700000011314	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	公司注册地址邮箱	415100	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp15	公司名称	益丰大药房连锁股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	证券简称	大千生态	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	法人代表	许忠良	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	总经理	许忠良	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	代码	603955	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	公司注册地址	江苏省南京市鼓楼区集慧路18号联创科技大厦A栋15层	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	企业法人营业执照注册号	320000000063098	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	公司注册地址邮箱	210036	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp16	公司名称	大千生态景观股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	首次注册登记地点	江苏省苏州工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	证券简称	哈森股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	法人代表	陈玉珍	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	总经理	陈芳德	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	代码	603958	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	公司注册地址	江苏省昆山市花桥镇曹安经济技术开发区花安路1008号5幢6层	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	企业法人营业执照注册号	310115400202982	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	公司注册地址邮箱	215332	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp17	公司名称	哈森商贸(中国)股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	证券简称	百利科技	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	法人代表	王海荣	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	总经理	肖立明	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	代码	603959	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	公司注册地址	湖南省岳阳市岳阳楼区洞庭大道1号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	企业法人营业执照注册号	430600000009729	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	公司注册地址邮箱	414007	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp18	公司名称	湖南百利工程科技股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	首次注册登记地点	上海市工商行政管理局南汇分局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	证券简称	克来机电	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	法人代表	谈士力	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	总经理	谈士力	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	代码	603960	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	公司注册地址	上海市浦东新区泥城镇新城路2号24幢4188室	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	企业法人营业执照注册号	310115001560789	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	公司注册地址邮箱	201306	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp19	公司名称	上海克来机电自动化工程股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	首次注册登记地点	大理市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	证券简称	大理药业	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	法人代表	杨君祥	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	总经理	杨君祥	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	代码	603963	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	公司注册地址	云南省大理白族自治州大理市下关环城西路118号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	企业法人营业执照注册号	523900400000116	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	公司注册地址邮箱	671000	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp20	公司名称	大理药业股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	首次注册登记地点	苏州市吴江工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	证券简称	法兰泰克	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	法人代表	金红萍	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	总经理	陶峰华	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	代码	603966	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	公司注册地址	江苏省吴江汾湖经济开发区汾越路288号、388号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	企业法人营业执照注册号	320584400012775	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	公司注册地址邮箱	215211	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp21	公司名称	法兰泰克重工股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	首次注册登记地点	江苏省工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	证券简称	醋化股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	法人代表	庆九	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	总经理	丁彩峰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	代码	603968	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	公司注册地址	江苏省南通经济技术开发区江山路968号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	企业法人营业执照注册号	3200001105145	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	公司注册地址邮箱	226009	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp22	公司名称	南通醋酸化工股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	首次注册登记地点	天津市工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	证券简称	银龙股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	法人代表	谢铁桥	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	总经理	谢志峰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	代码	603969	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	公司注册地址	天津市北辰区双源工业区双江道62号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	企业法人营业执照注册号	120000000015247	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	公司注册地址邮箱	300400	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp23	公司名称	天津银龙预应力材料股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	证券简称	正川股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	法人代表	邓勇	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	总经理	邓勇	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	代码	603976	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	公司注册地址	重庆市北碚区龙凤桥街道正川玻璃工业园	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	企业法人营业执照注册号	500109000014539	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	公司注册地址邮箱	400700	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp24	公司名称	重庆正川医药包装材料股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	首次注册登记地点	江西省工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	证券简称	国泰集团	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	法人代表	熊旭晴	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	总经理	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	代码	603977	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	公司注册地址	江西省南昌市高新区高新一路89号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	企业法人营业执照注册号	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	公司注册地址邮箱	330096	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp25	公司名称	江西国泰民爆集团股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	证券简称	深圳新星	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	法人代表	陈学敏	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	总经理	陈学敏	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	代码	603978	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	公司注册地址	深圳市宝安区观光路公明镇高新技术产业园新星厂区A栋	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	企业法人营业执照注册号	440301501133616	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	公司注册地址邮箱	518106	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp26	公司名称	深圳市新星轻合金材料股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	首次注册登记地点	北京市工商局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	证券简称	金 诚 信	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	法人代表	王先成	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	总经理	李占民	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	代码	603979	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	公司注册地址	北京市密云县经济开发区水源西路28号院1号楼101室	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	企业法人营业执照注册号	110000450040030	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	公司注册地址邮箱	101500	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp27	公司名称	金诚信矿业管理股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	证券简称	吉华集团	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	法人代表	邵伯金	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	总经理	杨泉明	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	代码	603980	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	公司注册地址	浙江省杭州市萧山区临江工业园新世纪大道1766号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	企业法人营业执照注册号	330000000060861	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	公司注册地址邮箱	311228	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp28	公司名称	浙江吉华集团股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	首次注册登记地点	无锡市江阴工商行政管理局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	证券简称	恒润股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	法人代表	承立新	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	总经理	承立新	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	代码	603985	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	公司注册地址	江苏省无锡市江阴市周庄镇欧洲工业园A区	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	企业法人营业执照注册号	320281400003897	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	公司注册地址邮箱	214400	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp29	公司名称	江阴市恒润重工股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
